% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=259737, Tue Mar  1 12:25:19 2022, <python>{}</python>
1 7 0.016441213000885177 1.0000333338888951 -0.6371564745254543 -6.3715647452545432e-01 -0.4778058614281274 -0.35358408479450115   
2 14 0.016414405225143498 1.2173067253770966 -0.6371564745254543 -5.8312515513631213e-01 -0.5122352791192193 -0.46598153628874855   
3 21 0.014077604763220447 1.5792901447809016 -0.6371564745254543 -6.3239899398258947e-01 -0.5016472753600352 -0.48334719608326865   
4 28 0.01317553662318339 1.5854617258157846 -0.6922439271177618 -6.9224392711776184e-01 -0.5487537940112369 -0.47059755457265506   
5 35 0.01268968921309323 1.8650784994943554 -0.6922439271177618 -6.3934723964723394e-01 -0.5764220946367865 -0.49127212413551896   
6 42 0.011511439755515645 1.9260526456935612 -0.6922439271177618 -6.8007003045272818e-01 -0.5661652666228407 -0.46746176762305425   
7 49 0.010637801908309341 2.04183173305038 -0.6951592748888274 -6.9515927488882745e-01 -0.6285383658949848 -0.5944070503176895   
8 56 0.00974445625513438 2.3162288227916283 -0.6951592748888274 -6.8616984290710059e-01 -0.60590666623792 -0.4661709654374391   
9 63 0.007416531538151667 2.0803137169231762 -0.6951592748888274 -6.7488948573359409e-01 -0.6307841460322017 -0.5784811339079778   
10 70 0.00740666780738681 2.359033025913898 -0.7206420103239705 -7.2064201032397046e-01 -0.700113043147695 -0.6556124181909057   
11 77 0.0066698321937894555 2.5821195385195455 -0.7206420103239705 -7.1853547805902962e-01 -0.6982249941633247 -0.6747387523459575   
12 84 0.005484531082424255 2.895046138173899 -0.7311161110296585 -7.3111611102965846e-01 -0.6921732519941716 -0.6628021827890216   
13 91 0.00432178964775969 3.491313791687701 -0.7311161110296585 -7.2311249901171148e-01 -0.7083314162086763 -0.6610293723831895   
14 98 0.0033668717648706473 3.19296762445825 -0.7311161110296585 -7.2968027082448872e-01 -0.7225747692402286 -0.7041813755363382   
15 105 0.0029793895939456503 3.3490039526209636 -0.7325763741105145 -7.3257637411051446e-01 -0.720985085166518 -0.7105567154231532   
16 112 0.002717785280802935 2.7453049000339327 -0.7335834030735894 -7.3358340307358938e-01 -0.7251294261626289 -0.7166949909987336   
17 119 0.002524574573354959 3.0391712509142814 -0.7335834030735894 -7.3311278989768192e-01 -0.7302103751787966 -0.7238749761070262   
18 126 0.0021794456269959533 3.154846709642182 -0.7335834030735894 -7.3311095462778553e-01 -0.7319644839258963 -0.7262120156860604   
19 133 0.0018509241973244804 2.8927306405854343 -0.7335834030735894 -7.3345277580005186e-01 -0.7331103170222817 -0.7220932090671225   
20 140 0.00153990833614041 3.0725205012404495 -0.7335834030735894 -7.3315349756258930e-01 -0.7331103170222817 -0.7237764617485294   
21 147 0.0012536128543344832 3.0234692636376335 -0.7335834030735894 -7.3321815420720027e-01 -0.7331103170222817 -0.7279280447368837   
22 154 0.0010858179480390166 2.793123695615728 -0.7335834030735894 -7.3311095462778553e-01 -0.7331103170222817 -0.7281849782142262   
23 161 0.0010093869968741656 2.8537168972439373 -0.7335834030735894 -7.3311031702228169e-01 -0.7331103170222817 -0.7282256471058259   
24 168 0.0010841884744776777 3.2772584728605056 -0.7335834030735894 -7.3347653952950775e-01 -0.7331103170222817 -0.727909963451074   
25 175 0.0009947848083798477 3.374746326395211 -0.7335834030735894 -7.3311031702228169e-01 -0.731366448736552 -0.7261504953712253   
26 182 0.001050870580453346 3.529034903782576 -0.7335834030735894 -7.3325336898685456e-01 -0.7326928318941716 -0.7319286013837212   
27 189 0.0010085398118459769 2.8570145794394533 -0.7335834030735894 -7.3311830001551626e-01 -0.7331103170222817 -0.7331103170222817   
28 196 0.0008389391181981119 2.992632741346194 -0.7335834030735894 -7.3312644241012670e-01 -0.7331103170222817 -0.7312819229258332   
29 203 0.0008375443750957938 2.947352256010362 -0.7336223013174722 -7.3362230131747219e-01 -0.7331103170222817 -0.7330564565897838   
30 210 0.0008144120818978729 3.5816520002091283 -0.7336223013174722 -7.3342124017648092e-01 -0.7331103170222817 -0.7327386662519818   
31 217 0.0013166952373876734 3.794794559226977 -0.7339321258946209 -7.3393212589462087e-01 -0.7331103170222817 -0.7327221057414618   
32 224 0.0013850941973964765 3.330175927774341 -0.7339321258946209 -7.3392198021244737e-01 -0.7316029960703511 -0.7304583735627941   
33 231 0.0013513113329881596 3.2251475340372147 -0.733935585335294 -7.3393558533529402e-01 -0.7331103170222817 -0.7244597723658742   
34 238 0.0015239971612554433 2.4090192339316108 -0.7343867860084952 -7.3438678600849516e-01 -0.7327127139847153 -0.730762972359698   
35 245 0.0013773870847467093 2.389428340603686 -0.7343867860084952 -7.3408356581808609e-01 -0.7334245014424704 -0.7307896483953744   
36 252 0.001114719838134049 2.0813090466449373 -0.7344423524665303 -7.3444235246653033e-01 -0.733697762790487 -0.7330860664724073   
37 259 0.0008582159349132123 2.2068039736937095 -0.7344423524665303 -7.3437689881503943e-01 -0.732940089277178 -0.7311916069678357   
38 266 0.0008392853010744799 2.201456560619582 -0.7345493581794067 -7.3454935817940670e-01 -0.7340669363772413 -0.7331453637842693   
39 273 0.00067770375978566 2.1131240384928303 -0.7345493581794067 -7.3437352122912691e-01 -0.7330627120167544 -0.7322511479139305   
40 280 0.0006395722587550335 1.9050146274651114 -0.7345692618106769 -7.3456926181067694e-01 -0.7343583737902641 -0.7335150715810403   
41 287 0.0006014154085104171 2.5723667583296144 -0.7346717181221202 -7.3467171812212018e-01 -0.7344143926035556 -0.7333129420200156   
